adis_visita_id;recordedby
337;Rogelio López
338;Rogelio López
339;Rogelio López
340;Rogelio López, Javier Martín Jaramillo
341;Javier Martín Jaramillo, Rogelio López
342;Pablo Galdo
343;Francisco Contreras Parody
344;Mentxu
345;Francisco Contreras Parody
346;Francisco Contreras Parody
347;Emilio Lopera, Fanny Archila
348;Isacio
349;Isacio
350;Fanny Archila
351;Isacio
352;Javier Martín Jaramillo
353;Javier Martín Jaramillo, Andrés López
354;Libertad, Javier Martín Jaramillo
355;Rogelio López
356;Rogelio López
357;Rogelio López
358;Rogelio López
359;Javier Martín Jaramillo
360;Pablo Galdo
361;Javier Martín Jaramillo
362;Javier Martín Jaramillo, Rogelio López
363;Javier Martín Jaramillo, Rogelio López
364;Javier Martín Jaramillo
365;Javier Martín Jaramillo
366;Rogelio López
367;Rogelio López
368;Rogelio López
369;Rogelio López
370;Rogelio López
371;Rogelio López
372;Rogelio López
373;Rogelio López
374;Javier Martín Jaramillo
375;Rogelio López
376;Rogelio López
377;Rogelio López
378;Rogelio López
379;Rogelio López
380;Rogelio López
381;Rogelio López
382;Rogelio López
383;Rogelio López
384;Rogelio López
385;Rogelio López
386;Rogelio López
387;Rogelio López
388;Rogelio López
389;Rogelio López
390;Pablo Galdo
391;Francisco Contreras Parody
392;Fanny Archila, Pablo Galdo
393;Pablo Galdo
394;Mentxu
395;Pablo Galdo, Fanny Archila
396;Fanny Archila
397;Mentxu
398;Mentxu
399;Francisco Contreras Parody
400;Pablo Galdo
401;Francisco Contreras Parody
402;Mentxu
403;Francisco Contreras Parody
404;Fanny Archila
405;Francisco Contreras Parody
406;Pablo Galdo
407;Mentxu
408;Fanny Archila, Pablo Galdo
409;Pablo Galdo
410;Mentxu
411;Francisco Contreras Parody
412;Fanny Archila
413;Pablo Galdo
414;Francisco Contreras Parody
415;Pablo Galdo
416;Pablo Galdo
417;Fanny Archila
418;Fanny Archila
419;Mentxu
420;Francisco Contreras Parody
421;Francisco Contreras Parody
422;Fanny Archila, Pablo Galdo
423;Mentxu
424;Fanny Archila, Pablo Galdo
425;Francisco Contreras Parody
426;Francisco Contreras Parody
427;Fanny Archila
428;Pablo Galdo
429;Mentxu
430;Fanny Archila, Emilio Lopera
431;Francisco Contreras Parody
432;Francisco Contreras Parody
433;Pablo Galdo
434;Francisco Contreras Parody, Mentxu
435;Francisco Contreras Parody, Mentxu
436;Francisco Contreras Parody
437;Francisco Contreras Parody
438;Pablo Galdo
439;Fanny Archila
440;Mentxu
441;Mentxu, Cristina Debén
442;Pablo Galdo
443;Francisco Contreras Parody
444;Mentxu, Francisco Contreras Parody
445;Isacio, Cristina Martos
446;Pablo Galdo
447;Francisco Contreras Parody
448;Fanny Archila
449;Pablo Galdo, Fanny Archila
450;Cristina Martos, Isacio
451;Mentxu
452;Pablo Galdo, Fanny Archila
453;Mentxu
454;Pablo Galdo
455;Pablo Galdo
456;Cristina Debén, Mentxu
457;Francisco Contreras Parody
458;Fanny Archila
459;Pablo Galdo
460;Mentxu
461;Pablo Galdo
462;Francisco Contreras Parody
463;Francisco Contreras Parody
464;Pablo Galdo, Fanny Archila
465;Isacio
466;Isacio
467;Francisco Contreras Parody
468;Pablo Galdo
469;Cristina Debén, Mentxu
470;Fanny Archila
471;Mentxu
472;Pablo Galdo
473;Francisco Contreras Parody
474;Mentxu
475;Francisco Contreras Parody
476;Fanny Archila
477;Francisco Contreras Parody
478;Isacio
479;Isacio
480;Francisco Contreras Parody
481;Fanny Archila
482;Pablo Galdo
483;Francisco Contreras Parody
484;Francisco Contreras Parody
485;Francisco Contreras Parody
486;Mentxu
487;Mentxu
488;Francisco Contreras Parody
489;Mentxu
490;Isacio
491;Isacio
493;Cristina Martos
494;Cristina Martos
495;Pablo Galdo
496;Francisco Contreras Parody
497;Francisco Contreras Parody
498;Fanny Archila
499;Mentxu
500;Mentxu
501;Cristina Martos
502;Francisco Contreras Parody
503;Pablo Galdo
504;Pablo Galdo
505;Francisco Contreras Parody
506;Francisco Contreras Parody
507;Mentxu
508;J. M. Marín, Fanny Archila
509;Francisco Contreras Parody
510;Isacio
511;Isacio
512;Cristina Martos
513;Mentxu
514;Mentxu, Cristina Debén
515;Francisco Contreras Parody
516;Pablo Galdo
517;Francisco Contreras Parody
518;Mentxu
519;Fanny Archila
520;Pablo Galdo
521;Francisco Contreras Parody
522;Francisco Contreras Parody
523;Cristina Debén, Mentxu
524;Cristina Martos
525;Francisco Contreras Parody
526;Francisco Contreras Parody
527;Pablo Galdo
528;Mentxu
529;Fanny Archila
530;Fanny Archila
531;Francisco Contreras Parody
532;Rogelio López, Jose Miguel Barea Azcón
533;Mentxu
534;Francisco Contreras Parody
535;Fanny Archila
536;Pablo Galdo
537;Pablo Galdo
538;Fanny Archila
539;Mentxu
540;Pablo Galdo
541;Fanny Archila
542;Pablo Galdo
543;Rogelio López
544;Francisco Contreras Parody
545;Fanny Archila
546;Pablo Galdo
547;Francisco Contreras Parody
548;Pablo Galdo
549;Fanny Archila
550;Javier Martín Jaramillo
551;Francisco Contreras Parody
552;Pablo Galdo
553;Francisco Contreras Parody
554;Fanny Archila
555;Fanny Archila
556;Javier Martín Jaramillo
557;Javier Martín Jaramillo
558;Francisco Contreras Parody
559;Francisco Contreras Parody
560;Pablo Galdo
561;Pablo Galdo
562;Rogelio López
563;Javier Martín Jaramillo
564;Javier Martín Jaramillo
565;Javier Martín Jaramillo
566;Rogelio López
567;Javier Martín Jaramillo
568;Rogelio López
569;Javier Martín Jaramillo
570;Javier Martín Jaramillo
571;Javier Martín Jaramillo
572;Javier Martín Jaramillo
573;Javier Martín Jaramillo
580;Rogelio López
581;Pablo Galdo
582;Fanny Archila
583;Pablo Galdo
584;Fanny Archila
585;Francisco Contreras Parody
586;Pablo Galdo
587;Fanny Archila
588;Rogelio López
589;Fanny Archila
590;Pablo Galdo
591;Pablo Galdo
592;Javier Martín Jaramillo
593;Javier Martín Jaramillo
594;Jose Miguel Barea Azcón
595;Rogelio López
596;Rogelio López
597;Javier Martín Jaramillo
598;Javier Martín Jaramillo
600;Rogelio López
601;Rogelio López
602;Mentxu
603;Javier Martín Jaramillo
604;Rogelio López
605;Mentxu
606;Francisco Contreras Parody
607;Fanny Archila
608;Javier Martín Jaramillo
609;Rogelio López
610;Pablo Galdo
611;Pablo Galdo, Fanny Archila
612;Francisco Contreras Parody
613;Rogelio López
614;Javier Martín Jaramillo
615;Cristina Martos
616;Cristina Martos
617;Francisco Contreras Parody
618;Fanny Archila
619;Francisco Contreras Parody
620;Fanny Archila
621;Mentxu, Cristina Debén
622;Mentxu
623;Pablo Galdo
624;Fanny Archila
625;Rogelio López
626;Fanny Archila
627;Cristina Martos
628;Pablo Galdo
629;Francisco Contreras Parody
630;Francisco Contreras Parody
631;Fanny Archila
632;Pablo Galdo
633;Mentxu
634;Javier Martín Jaramillo
635;Javier Martín Jaramillo
636;Pablo Galdo
637;Fanny Archila
638;Francisco Contreras Parody
639;Francisco Contreras Parody
640;Francisco Contreras Parody
641;Fanny Archila
642;Fanny Archila
643;Mentxu
644;Mentxu
645;Cristina Martos
646;Cristina Martos
647;Cristina Martos
648;Rogelio López
649;Pablo Galdo
650;Fanny Archila
651;Francisco Contreras Parody
652;Pablo Galdo
653;Mentxu
654;Mentxu
655;Fanny Archila
656;Francisco Contreras Parody
657;Cristina Martos
658;Cristina Martos
659;Cristina Martos
660;Francisco Contreras Parody
661;Pablo Galdo
662;Francisco Contreras Parody
663;Fanny Archila
664;Pablo Galdo
665;Francisco Contreras Parody
666;Mentxu
667;Mentxu
668;Fanny Archila
669;Rogelio López
670;Javier Martín Jaramillo
671;Cristina Martos
672;Cristina Martos
673;Cristina Martos
674;Javier Martín Jaramillo
675;Mentxu
676;Mentxu
677;Francisco Contreras Parody
678;Fanny Archila
679;Mentxu
680;Fanny Archila
681;Fanny Archila
682;Fanny Archila
683;Rogelio López
684;Rogelio López
685;Cristina Martos
686;Cristina Martos
687;Cristina Martos
688;Francisco Contreras Parody
689;Francisco Contreras Parody
690;Francisco Contreras Parody
691;Rogelio López
692;Javier Martín Jaramillo
693;Javier Martín Jaramillo
694;Pablo Galdo
695;Mentxu
696;Francisco Contreras Parody
697;Pablo Galdo
698;Francisco Contreras Parody
699;Fanny Archila
700;Fanny Archila
701;Mentxu
702;Cristina Martos
703;Cristina Martos
704;Cristina Martos
705;Javier Martín Jaramillo
706;Fanny Archila
707;Fanny Archila
708;Rogelio López
709;Fanny Archila
710;Javier Martín Jaramillo
711;Rogelio López
712;Rogelio López
713;Rogelio López
714;Rogelio López
715;Rogelio López
716;Mentxu
717;Mentxu
718;Fanny Archila
719;Francisco Contreras Parody
720;Fanny Archila
721;Isacio
722;Isacio
723;Cristina Martos
724;Pablo Galdo
725;Isacio
726;Isacio
727;Mentxu
728;Isacio
729;Isacio
730;Fanny Archila
731;Fanny Archila
732;Cristina Martos, Mentxu
733;Pablo Galdo
734;Isacio
735;Isacio
736;Mentxu
737;Fanny Archila
738;Francisco Contreras Parody
739;Francisco Contreras Parody
740;Francisco Contreras Parody
741;Francisco Contreras Parody
742;Cristina Martos
744;Mentxu
745;Pablo Galdo
746;Mentxu
749;Pablo Galdo
750;Pablo Galdo
751;Isacio
752;Isacio
753;Francisco Contreras Parody
754;Francisco Contreras Parody
755;Isacio
756;Isacio
757;Mentxu, Cristina Debén
758;Pablo Galdo
759;Cristina Debén, Mentxu
760;Mentxu
761;Fanny Archila
762;Pablo Galdo
763;Pablo Galdo
764;Cristina Martos
765;Francisco Contreras Parody
766;Francisco Contreras Parody
767;Francisco Contreras Parody
768;Isacio
769;Isacio
770;Mentxu
772;Fanny Archila, Pablo Galdo
773;Fanny Archila
774;Pablo Galdo
775;Pablo Galdo
776;Mentxu, Cristina Martos
777;Cristina Martos
778;Francisco Contreras Parody
779;Francisco Contreras Parody
780;Francisco Contreras Parody
781;Isacio
782;Isacio
783;Mentxu
784;Pablo Galdo
785;Pablo Galdo
786;Fanny Archila
787;Fanny Archila
788;Cristina Martos
789;Fanny Archila
790;Fanny Archila, Pablo Galdo
791;Mentxu
792;Mentxu
793;Cristina Martos
794;Francisco Contreras Parody
795;Isacio
796;Fanny Archila
797;Francisco Contreras Parody
798;Isacio
799;Pablo Galdo
800;Fanny Archila
801;Francisco Contreras Parody
802;Francisco Contreras Parody
803;Francisco Contreras Parody
804;Isacio
805;Isacio
806;Fanny Archila, Pablo Galdo
807;Pablo Galdo
808;Mentxu
809;Fanny Archila
810;Pablo Galdo
811;Mentxu
812;Cristina Martos
813;Javier Martín Jaramillo
814;Javier Martín Jaramillo
815;Pablo Galdo
816;Cristina Debén
817;Isacio
818;Isacio
819;Pablo Galdo
820;Mentxu
821;Fanny Archila
822;Pablo Galdo
823;Rogelio López
824;Fanny Archila
825;Mentxu
826;Pablo Galdo
827;Fanny Archila
828;Fanny Archila
829;Pablo Galdo
830;Pablo Galdo
831;Francisco Contreras Parody
832;Pablo Galdo
833;Francisco Contreras Parody
834;Mentxu
835;Fanny Archila
836;Mentxu
837;Pablo Galdo
838;Mentxu
839;Francisco Contreras Parody
840;Pablo Galdo
841;Fanny Archila
842;Francisco Contreras Parody
843;Fanny Archila
844;Francisco Contreras Parody
845;Francisco Contreras Parody
846;Fanny Archila
847;Fanny Archila
848;Rogelio López, Javier Martín Jaramillo
849;Rogelio López
850;Rogelio López
851;Javier Martín Jaramillo
852;Javier Martín Jaramillo, D. Morillar, Jose Miguel Barea Azcón
853;Rogelio López
854;Rogelio López
855;Rogelio López
856;Rogelio López
857;Rogelio López
858;Rogelio López
859;Pablo Galdo
860;Mentxu
861;Francisco Contreras Parody
862;Rogelio López
863;Fanny Archila
864;Mentxu
865;Fanny Archila
866;Mentxu
867;Francisco Contreras Parody
869;Fanny Archila
870;Mentxu
871;Francisco Contreras Parody
872;Cristina Debén
873;Fanny Archila
874;Fanny Archila
875;Mentxu
876;Francisco Contreras Parody
877;Rogelio López
878;Rogelio López
879;Fanny Archila
880;Fanny Archila
881;Francisco Contreras Parody
882;Pablo Galdo
883;Fanny Archila
884;Rogelio López
885;Francisco Contreras Parody
886;Pablo Galdo
887;Francisco Contreras Parody
888;Pablo Galdo
889;Pablo Galdo
890;Mentxu
891;Francisco Contreras Parody
892;Fanny Archila
893;Pablo Galdo
894;Fanny Archila
895;Pablo Galdo
896;Pablo Galdo
897;Mentxu, Cristina Debén
898;Francisco Contreras Parody
899;Pablo Galdo
900;Fanny Archila
901;Pablo Galdo
902;Fanny Archila
903;Mentxu
904;Francisco Contreras Parody
905;Pablo Galdo
906;Pablo Galdo
907;Mentxu
908;Francisco Contreras Parody
909;Pablo Galdo
910;Pablo Galdo
911;Fanny Archila
912;Mentxu
913;Francisco Contreras Parody
914;Fanny Archila
915;Fanny Archila
916;Mentxu
917;Francisco Contreras Parody
918;Francisco Contreras Parody
919;Rogelio López
920;Rogelio López
921;Rogelio López
922;Rogelio López
923;Francisco Contreras Parody
924;Pablo Galdo
925;Fanny Archila
926;Francisco Contreras Parody
927;Rogelio López
928;Pablo Galdo
929;Rogelio López
930;Mentxu
931;Pablo Galdo
932;Fanny Archila
933;Mentxu
934;Fanny Archila
935;Javier Martín Jaramillo
936;Javier Martín Jaramillo
937;D. Morillar, Javier Martín Jaramillo
938;D. Morillar, Rogelio López
939;Rogelio López
940;Rogelio López
941;Rogelio López
942;Rogelio López
943;Rogelio López
944;Cristina Martos
945;Cristina Martos
946;Cristina Martos
947;Cristina Martos
948;Cristina Martos
949;Cristina Martos
950;Cristina Martos
951;Cristina Martos
952;Cristina Martos
953;Cristina Martos
954;Cristina Martos
955;Cristina Martos
956;Cristina Martos
957;Cristina Martos
958;Cristina Martos
959;Cristina Martos
960;Cristina Martos
961;Cristina Martos
962;Cristina Martos
963;Cristina Martos
964;Cristina Martos
965;Cristina Martos
966;Cristina Martos
967;Cristina Martos
968;Cristina Martos
969;Cristina Martos
970;Cristina Martos
971;Cristina Martos
972;Cristina Martos
973;Cristina Martos
974;Cristina Martos
975;Mentxu
976;Pablo Galdo
977;Pablo Galdo
978;Pablo Galdo
979;Pablo Galdo
980;Pablo Galdo
981;Mentxu
982;Fanny Archila
983;Mentxu
984;Pablo Galdo
985;Francisco Contreras Parody
986;Francisco Contreras Parody
987;Francisco Contreras Parody
988;Cristina Debén
989;Francisco Contreras Parody
990;Mentxu
991;Francisco Contreras Parody
992;Francisco Contreras Parody
993;Fanny Archila
994;Pablo Galdo
995;Francisco Contreras Parody
996;Francisco Contreras Parody
997;Mentxu
998;Mentxu
999;Francisco Contreras Parody
1000;Pablo Galdo
1001;Fanny Archila
1002;Mentxu
1003;Fanny Archila
1004;Pablo Galdo
1005;Mentxu
1006;Pablo Galdo
1007;Francisco Contreras Parody
1008;Mentxu
1009;Pablo Galdo
1010;Fanny Archila
1011;Francisco Contreras Parody
1012;Francisco Contreras Parody
1013;Pablo Galdo
1014;Fanny Archila
1015;Francisco Contreras Parody
1016;Francisco Contreras Parody
1017;Fanny Archila
1018;Fanny Archila
1019;Francisco Contreras Parody
1020;Fanny Archila
1021;Pablo Galdo
1022;Francisco Contreras Parody
1023;Pablo Galdo
1024;Francisco Contreras Parody
1025;Pablo Galdo
1026;Francisco Contreras Parody
1027;Pablo Galdo
1028;Mentxu
1029;Mentxu
1030;Mentxu
1031;Pablo Galdo
1032;Francisco Contreras Parody
1033;Francisco Contreras Parody
1034;Pablo Galdo
1035;Pablo Galdo
1036;Francisco Contreras Parody
1037;Pablo Galdo
1038;Mentxu
1039;Mentxu
1040;Mentxu
1041;Pablo Galdo
1042;Francisco Contreras Parody
1043;Francisco Contreras Parody
1044;Fanny Archila
1045;Francisco Contreras Parody
1046;Francisco Contreras Parody
1047;Francisco Contreras Parody
1048;Francisco Contreras Parody
1049;Francisco Contreras Parody
1050;Francisco Contreras Parody
1051;Mentxu
